symbol,time_utc,price,bias,line_val,sma14,day_quote_volume
TUT/USDT,2026-08-09 07:55,0.17808,147.7,0.22468,0.178766,2295631241.52
TUT/USDT,2026-08-09 08:25,0.16459,147.7,0.23329,0.165022,2295631241.52
TUT/USDT,2026-08-09 19:55,0.18687,31.46,0.201276,0.191898,2295631241.52
BICO/USDT,2026-08-09 02:30,0.06909,22.19,0.071496,0.069296,438070767.26
BICO/USDT,2026-08-09 07:55,0.07085,43.49,0.079823,0.074162,438070767.26
BICO/USDT,2026-08-09 08:25,0.06601,43.49,0.081061,0.070595,438070767.26
BMT/USDT,2026-08-09 06:00,0.01515,29.44,0.016,0.015154,430109391.56
BMT/USDT,2026-08-09 17:50,0.03381,78.24,0.036503,0.033276,430109391.56
BMT/USDT,2026-08-09 19:40,0.03525,65.34,0.03575,0.034591,430109391.56
BMT/USDT,2026-08-09 21:55,0.03425,66.26,0.034912,0.035176,430109391.56
CYS/USDT,2026-08-09 11:55,0.9596,19.22,0.985286,0.968921,184892950.06
CYS/USDT,2026-08-09 23:10,1.1743,25.51,1.2389,1.188407,184892950.06
BEAT/USDT,2026-08-09 03:55,2.78,19.87,3.063,3.085714,167292597.74
BEAT/USDT,2026-08-09 14:30,3.266,9.72,3.265222,3.305214,167292597.74
BEAT/USDT,2026-08-09 17:10,3.537,13.56,3.605294,3.508286,167292597.74
BEAT/USDT,2026-08-09 21:40,3.74,13.92,3.793933,3.725857,167292597.74
BEAT/USDT,2026-08-09 23:15,3.817,14.77,3.875556,3.855429,167292597.74
IOTX/USDT,2026-08-09 00:35,0.002626,10.22,0.002686,0.002642,161716693.46
IOTX/USDT,2026-08-09 02:20,0.003731,60.04,0.004089,0.003701,161716693.46
MUBARAK/USDT,2026-08-09 00:45,0.0157,7.52,0.015855,0.015746,149143278.49
MUBARAK/USDT,2026-08-09 01:15,0.01581,7.52,0.015871,0.015716,149143278.49
MUBARAK/USDT,2026-08-09 04:15,0.01622,6.97,0.016198,0.016145,149143278.49
MUBARAK/USDT,2026-08-09 07:55,0.01788,24.61,0.018272,0.018137,149143278.49
MUBARAK/USDT,2026-08-09 10:50,0.01962,28.65,0.020538,0.019492,149143278.49
MUBARAK/USDT,2026-08-09 18:05,0.02478,37.45,0.025558,0.024699,149143278.49
MUBARAK/USDT,2026-08-09 18:35,0.0248,37.45,0.025854,0.024876,149143278.49
MUBARAK/USDT,2026-08-09 23:00,0.02542,29.47,0.026661,0.025721,149143278.49
BLUAI/USDT,2026-08-09 01:10,0.02138,13.44,0.021605,0.021409,140104864.71
PUMP/USDT,2026-08-09 08:10,0.00249,5.8,0.002503,0.002504,133541758.02
PUMP/USDT,2026-08-09 08:40,0.002468,5.8,0.002499,0.002487,133541758.02
PUMP/USDT,2026-08-09 14:50,0.002689,10.03,0.002729,0.002703,133541758.02
PUMP/USDT,2026-08-09 20:20,0.00271,6.08,0.002731,0.002713,133541758.02
PUMP/USDT,2026-08-09 20:50,0.002695,5.75,0.002696,0.002708,133541758.02
PUMP/USDT,2026-08-09 21:20,0.002659,5.75,0.002677,0.002686,133541758.02
BLESS/USDT,2026-08-09 08:50,0.013704,8.2,0.014036,0.013594,116315143.7
BANK/USDT,2026-08-09 13:55,0.04304,18.48,0.043259,0.043911,105937477.36
BTW/USDT,2026-08-09 01:05,0.20397,17.34,0.208029,0.205701,101352521.18
BTW/USDT,2026-08-09 03:30,0.20557,15.83,0.207748,0.204725,101352521.18
BTW/USDT,2026-08-09 08:15,0.18634,14.36,0.191686,0.184663,101352521.18
BTW/USDT,2026-08-09 08:45,0.17342,14.36,0.191196,0.178328,101352521.18
BTW/USDT,2026-08-09 15:10,0.20054,5.87,0.2041,0.199986,101352521.18
BTW/USDT,2026-08-09 16:55,0.20402,8.38,0.205817,0.203541,101352521.18
SKYAI/USDT,2026-08-09 03:15,0.12177,14.24,0.13177,0.125351,100983369.38
SKYAI/USDT,2026-08-09 08:00,0.12975,19.47,0.134277,0.130004,100983369.38
TST/USDT,2026-08-09 00:50,0.01622,17.0,0.016304,0.016538,96099268.24
TST/USDT,2026-08-09 03:15,0.01937,30.94,0.020648,0.01919,96099268.24
TST/USDT,2026-08-09 03:45,0.01868,30.94,0.021001,0.018998,96099268.24
TST/USDT,2026-08-09 20:10,0.02099,43.85,0.021706,0.021984,96099268.24
ACE/USDT,2026-08-09 03:25,0.13032,17.21,0.133131,0.133376,86731093.18
COOKIE/USDT,2026-08-09 01:00,0.012904,29.6,0.013488,0.013079,80032295.85
COOKIE/USDT,2026-08-09 12:05,0.013614,16.54,0.013963,0.013706,80032295.85
COOKIE/USDT,2026-08-09 12:35,0.013346,16.54,0.013949,0.013563,80032295.85
COOKIE/USDT,2026-08-09 20:05,0.015146,31.27,0.015886,0.015719,80032295.85
COOKIE/USDT,2026-08-09 20:35,0.015063,31.27,0.016356,0.015204,80032295.85
US/USDT,2026-08-09 01:25,0.050872,7.67,0.051189,0.050911,76204510.02
US/USDT,2026-08-09 06:25,0.049095,6.21,0.050457,0.047908,76204510.02
US/USDT,2026-08-09 18:05,0.045009,6.06,0.045868,0.045828,76204510.02
MMT/USDT,2026-08-09 04:50,0.2199,8.44,0.226175,0.220764,74764055.29
MMT/USDT,2026-08-09 05:20,0.2227,8.44,0.2285,0.22175,74764055.29
MMT/USDT,2026-08-09 07:00,0.2276,14.87,0.234343,0.230693,74764055.29
MMT/USDT,2026-08-09 07:30,0.2298,14.87,0.235371,0.230193,74764055.29
龙虾/USDT,2026-08-09 02:05,0.024659,9.29,0.025083,0.024698,66324104.07
龙虾/USDT,2026-08-09 03:40,0.024746,7.41,0.025186,0.025102,66324104.07
龙虾/USDT,2026-08-09 19:35,0.021648,11.74,0.022419,0.021659,66324104.07
龙虾/USDT,2026-08-09 22:40,0.022766,15.38,0.023537,0.023049,66324104.07
ON/USDT,2026-08-09 08:45,0.3564,12.67,0.372245,0.354854,59878596.32
ON/USDT,2026-08-09 09:15,0.36055,12.67,0.384027,0.359863,59878596.32
ON/USDT,2026-08-09 12:25,0.39629,20.81,0.409734,0.397131,59878596.32
XAN/USDT,2026-08-09 05:50,0.015279,8.16,0.015269,0.015428,59700918.69
XAN/USDT,2026-08-09 08:30,0.016802,14.96,0.017109,0.016623,59700918.69
XAN/USDT,2026-08-09 10:00,0.017386,18.91,0.017767,0.017455,59700918.69
XAN/USDT,2026-08-09 13:10,0.017652,32.0,0.019219,0.019321,59700918.69
XAN/USDT,2026-08-09 13:40,0.01736,32.0,0.019311,0.017933,59700918.69
XAN/USDT,2026-08-09 19:30,0.019222,17.51,0.019892,0.019696,59700918.69
XAN/USDT,2026-08-09 21:00,0.020364,16.88,0.02055,0.020345,59700918.69
XMR/USDT,2026-08-09 16:30,399.99,8.5,399.973684,401.900714,51693517.67
